eval_id,porosity_scale,lambda_thawed_scale,cap_s_scale,porosity,lambda_thawed,cap_s,mae
49,0.997808048346364,0.9985972912737708,1.0147966599841565,0.41907938030547287,1.6376995576889841,801.6893613874836,4.6868661558483416e-05
50,0.9978080583463641,0.9985972912737708,1.0147966599841565,0.4190793845054729,1.6376995576889841,801.6893613874836,4.686873685986735e-05
51,0.997808048346364,0.9985973012737709,1.0147966599841565,0.41907938030547287,1.6376995740889841,801.6893613874836,4.686864791601499e-05
52,0.997808048346364,0.9985972912737708,1.0147966699841564,0.41907938030547287,1.6376995576889841,801.6893692874836,4.686872576452321e-05
53,0.9993172899415899,0.9990672112223736,1.0064556211131248,0.41971326177546775,1.6384702264046926,795.0999406793686,1.4316702089955434e-05
54,0.9993172999415899,0.9990672112223736,1.0064556211131248,0.41971326597546776,1.6384702264046926,795.0999406793686,1.4317101288381759e-05
55,0.9993172899415899,0.9990672212223737,1.0064556211131248,0.41971326177546775,1.6384702428046927,795.0999406793686,1.4316718501654081e-05
56,0.9993172899415899,0.9990672112223736,1.0064556311131247,0.41971326177546775,1.6384702264046926,795.0999485793685,1.4316788795682602e-05
57,0.9999490240600903,0.9994374668217497,1.0018898803079546,0.4199785901052379,1.6390774455876695,791.4930054432841,4.8337780941579045e-06
58,0.9999490340600904,0.9994374668217497,1.0018898803079546,0.41997859430523793,1.6390774455876695,791.4930054432841,4.83404157166707e-06
59,0.9999490240600903,0.9994374768217498,1.0018898803079546,0.4199785901052379,1.6390774619876696,791.4930054432841,4.833746788347178e-06
60,0.9999490240600903,0.9994374668217497,1.0018898903079545,0.4199785901052379,1.6390774455876695,791.493013343284,4.83382297134509e-06
61,1.000127761677889,0.9998903981867134,0.9995968952839359,0.42005365990471333,1.63982025302621,789.6815472743094,7.984734191240672e-05
62,1.000127771677889,0.9998903981867134,0.9995968952839359,0.42005366410471334,1.63982025302621,789.6815472743094,7.984747993936299e-05
63,1.000127761677889,0.9998904081867135,0.9995968952839359,0.42005365990471333,1.63982026942621,789.6815472743094,7.984733934100213e-05
64,1.000127761677889,0.9998903981867134,0.999596905283936,0.42005365990471333,1.63982025302621,789.6815551743094,7.98473535800345e-05
65,0.9999516759623707,0.9994441868940791,1.0018558596452152,0.41997970390419564,1.6390884665062897,791.46612911972,4.730535516386377e-06
66,0.9999516859623707,0.9994441868940791,1.0018558596452152,0.41997970810419566,1.6390884665062897,791.46612911972,4.730796370344339e-06
67,0.9999516759623707,0.9994441968940792,1.0018558596452152,0.41997970390419564,1.6390884829062897,791.46612911972,4.7305045307409175e-06
68,0.9999516759623707,0.9994441868940791,1.0018558696452151,0.41997970390419564,1.6390884665062897,791.4661370197199,4.730579898367856e-06
69,1.0000678925346127,0.9997386863472177,1.000364943166771,0.4200285148645373,1.639571445609437,790.2883051017491,7.887289993815259e-05
70,1.0000679025346126,0.9997386863472177,1.000364943166771,0.4200285190645373,1.639571445609437,790.2883051017491,7.88730997197203e-05
71,1.0000678925346127,0.9997386963472178,1.000364943166771,0.4200285148645373,1.639571462009437,790.2883051017491,7.88728925262029e-05
72,1.0000678925346127,0.9997386863472177,1.0003649531667709,0.4200285148645373,1.639571445609437,790.288313001749,7.887292389438268e-05
73,0.9999528092179211,0.9994470586285781,1.0018413213625779,0.41998017987152686,1.639093176150868,791.4546438764365,4.686783246304585e-06
74,0.9999528192179211,0.9994470586285781,1.0018413213625779,0.4199801840715269,1.639093176150868,791.4546438764365,4.687042978903375e-06
75,0.9999528092179211,0.9994470686285781,1.0018413213625779,0.41998017987152686,1.639093192550868,791.4546438764365,4.6867523970314814e-06
76,0.9999528092179211,0.9994470586285781,1.0018413313625778,0.41998017987152686,1.639093176150868,791.4546517764364,4.68682741650442e-06
77,1.0000161259094262,0.9996075067528263,1.0010290456526314,0.420006772881959,1.639356311074635,790.8129460655788,7.996858337228481e-05
78,1.0000161359094262,0.9996075067528263,1.0010290456526314,0.420006777081959,1.639356311074635,790.8129460655788,7.996884853589243e-05
79,1.0000161259094262,0.9996075167528263,1.0010290456526314,0.420006772881959,1.639356327474635,790.8129460655788,7.996857405024297e-05
80,1.0000161259094262,0.9996075067528263,1.0010290556526313,0.420006772881959,1.639356311074635,790.8129539655788,7.996862000951159e-05
81,0.9999531434591653,0.9994479056150426,1.0018370334562219,0.4199803202528494,1.6390945652086697,791.4512564304152,4.673920969315562e-06
82,0.9999531534591654,0.9994479056150426,1.0018370334562219,0.41998032445284944,1.6390945652086697,791.4512564304152,4.6741803718803655e-06
83,0.9999531434591653,0.9994479156150426,1.0018370334562219,0.4199803202528494,1.63909458160867,791.4512564304152,4.673890160493045e-06
84,0.9999531434591653,0.9994479056150426,1.0018370434562218,0.4199803202528494,1.6390945652086697,791.4512643304153,4.673965077646635e-06
85,0.9999757968537406,0.99950531061491,1.0015464181109799,0.41998983467857104,1.6391887094084523,791.2216703076741,3.9055403200398375e-06
86,0.9999758068537407,0.99950531061491,1.0015464181109799,0.41998983887857105,1.6391887094084523,791.2216703076741,3.905774765433304e-06
87,0.9999757968537406,0.99950532061491,1.0015464181109799,0.41998983467857104,1.6391887258084523,791.2216703076741,3.90550896868697e-06
88,0.9999757968537406,0.99950531061491,1.0015464281109798,0.41998983467857104,1.6391887094084523,791.221678207674,3.905579615364823e-06
89,1.0000762244662236,1.0001104938680434,0.9993446649708364,0.4200320142758139,1.640181209943591,789.4822853269608,2.3814303288691647e-07
90,1.0000762344662235,1.0001104938680434,0.9993446649708364,0.42003201847581384,1.640181209943591,789.4822853269608,2.3810604521447645e-07
91,1.0000762244662236,1.0001105038680433,0.9993446649708364,0.4200320142758139,1.640181226343591,789.4822853269608,2.3815131408221175e-07
92,1.0000762244662236,1.0001104938680434,0.9993446749708365,0.4200320142758139,1.640181209943591,789.4822932269608,2.381353805809392e-07
93,1.0000128626451517,0.9999836929017626,0.9999904609964498,0.42000540231096367,1.6399732563588905,789.9924641871954,7.713747251472815e-09
94,1.0000128726451516,0.9999836929017626,0.9999904609964498,0.42000540651096363,1.6399732563588905,789.9924641871954,7.724099313706881e-09
95,1.0000128626451517,0.9999837029017626,0.9999904609964498,0.42000540231096367,1.6399732727588907,789.9924641871954,7.711632185999586e-09
96,1.0000128626451517,0.9999836929017626,0.9999904709964499,0.42000540231096367,1.6399732563588905,789.9924720871954,7.715141812873742e-09
97,1.0000048320359187,0.9999975770019897,0.9999917476969398,0.42000202945508586,1.639996026283263,789.9934806805824,7.141857889755583e-10
98,1.0000048420359187,0.9999975770019897,0.9999917476969398,0.4200020336550858,1.639996026283263,789.9934806805824,7.183964022271701e-10
99,1.0000048320359187,0.9999975870019897,0.9999917476969398,0.42000202945508586,1.639996042683263,789.9934806805824,7.144462068169891e-10
100,1.0000048320359187,0.9999975770019897,0.9999917576969398,0.42000202945508586,1.639996026283263,789.9934885805825,7.148401720938078e-10
101,1.0000003147616447,1.0000002722664076,0.9999982178110023,0.4200001321998908,1.6400004465169085,789.9985920706918,1.060689039247144e-12
102,1.0000003247616447,1.0000002722664076,0.9999982178110023,0.42000013639989076,1.6400004465169085,789.9985920706918,1.1750507454537638e-12
103,1.0000003147616447,1.0000002822664076,0.9999982178110023,0.4200001321998908,1.6400004629169083,789.9985920706918,1.1251888755948496e-12
104,1.0000003147616447,1.0000002722664076,0.9999982278110023,0.4200001321998908,1.6400004465169085,789.9985999706919,1.0774025949656592e-12
